camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,40,349731521,15693,349731521,15693,349731521,15693,378809420,15693,389678896,15693,394051304,0.000,29.078,10.869,4.372,44.320,44.320,,,0,0
right,14,404743441,15693,404743441,15693,404743441,15693,407717639,15693,416209964,15693,419277217,0.000,2.974,8.492,3.067,14.534,14.534,,,0,0
left,41,449691890,15693,449691890,15693,449691890,15693,452349892,15693,458964461,15693,460498781,0.000,2.658,6.615,1.534,10.807,10.807,,,0,0
front,65,367583728,15693,367583728,15693,367583728,15693,379313313,15693,390952925,15693,481541807,0.000,11.730,11.640,90.589,113.958,113.958,,,0,0
front,66,467585304,15693,467585304,15693,467585304,15693,470224299,15693,477363463,15693,482035403,0.000,2.639,7.139,4.672,14.450,14.450,,,0,0
right,15,504733086,15693,504733086,15693,504733086,15693,507470958,15693,513683640,15693,515188660,0.000,2.738,6.213,1.505,10.456,10.456,,,0,0
left,42,549667487,15693,549667487,15693,549667487,15693,552397525,15693,559126242,15693,561188728,0.000,2.730,6.729,2.062,11.521,11.521,,,0,0
front,67,567578709,15693,567578709,15693,567578709,15693,570448266,15693,578163587,15693,579919224,0.000,2.870,7.715,1.756,12.341,12.341,,,0,0
right,16,604735018,15693,604735018,15693,604735018,15693,607377570,15693,614299250,15693,615437914,0.000,2.643,6.922,1.139,10.703,10.703,,,0,0
left,43,649680505,15693,649680505,15693,649680505,15693,652502100,15693,658316237,15693,659443722,0.000,2.822,5.814,1.127,9.763,9.763,,,0,0
front,68,667645226,15693,667645226,15693,667645226,15693,670374101,15693,677700824,15693,679367570,0.000,2.729,7.327,1.667,11.722,11.722,,,0,0
right,17,704763225,15693,704763225,15693,704763225,15693,707221221,15693,713627577,15693,714788025,0.000,2.458,6.406,1.160,10.025,10.025,,,0,0
left,44,749702256,15693,749702256,15693,749702256,15693,752570652,15693,758474000,15693,759640725,0.000,2.868,5.903,1.167,9.938,9.938,,,0,0
front,69,767599405,15693,767599405,15693,767599405,15693,770288758,15693,778141414,15693,779963302,0.000,2.689,7.853,1.822,12.364,12.364,,,0,0
right,18,804753615,15693,804753615,15693,804753615,15693,807376349,15693,813746199,15693,815319853,0.000,2.623,6.370,1.574,10.566,10.566,,,0,0
left,45,849653804,15693,849653804,15693,849653804,15693,852655411,15693,858419909,15693,859851198,0.000,3.002,5.764,1.431,10.197,10.197,,,0,0
front,70,867690799,15693,867690799,15693,867690799,15693,869865400,15693,877184983,15693,879300345,0.000,2.175,7.320,2.115,11.610,11.610,,,0,0
right,19,904775124,15693,904775124,15693,904775124,15693,906853176,15693,913009830,15693,914366043,0.000,2.078,6.157,1.356,9.591,9.591,,,0,0
left,46,949663310,15693,949663310,15693,949663310,15693,952152452,15693,958521739,15693,960707095,0.000,2.489,6.369,2.185,11.044,11.044,,,0,0
front,71,967580618,15693,967580618,15693,967580618,15693,970330973,15693,977694926,15693,979311782,0.000,2.750,7.364,1.617,11.731,11.731,,,0,0
right,20,4773483,15694,004773483,15694,004773483,15694,007057407,15694,013404778,15694,015310031,0.000,2.284,6.347,1.905,10.537,10.537,,,0,0
left,47,49709058,15694,049709058,15694,049709058,15694,052280286,15694,058434191,15694,060756100,0.000,2.571,6.154,2.322,11.047,11.047,,,0,0
front,72,67594583,15694,067594583,15694,067594583,15694,070384883,15694,077349610,15694,078853083,0.000,2.790,6.965,1.503,11.258,11.258,,,0,0
right,21,104774426,15694,104774426,15694,104774426,15694,107433081,15694,113658634,15694,114979429,0.000,2.659,6.226,1.321,10.205,10.205,,,0,0
left,48,149666689,15694,149666689,15694,149666689,15694,152407198,15694,158576721,15694,160829465,0.000,2.741,6.170,2.253,11.163,11.163,,,0,0
front,73,167761994,15694,167761994,15694,167761994,15694,169636467,15694,176751392,15694,178608095,0.000,1.874,7.115,1.857,10.846,10.846,,,0,0
right,22,204785615,15694,204785615,15694,204785615,15694,207647010,15694,213575753,15694,214884454,0.000,2.861,5.929,1.309,10.099,10.099,,,0,0
left,49,249713098,15694,249713098,15694,249713098,15694,252439614,15694,258320247,15694,259601323,0.000,2.727,5.881,1.281,9.888,9.888,,,0,0
front,74,267620418,15694,267620418,15694,267620418,15694,269987976,15694,275798272,15694,277417845,0.000,2.368,5.810,1.620,9.797,9.797,,,0,0
right,23,304786715,15694,304786715,15694,304786715,15694,307441988,15694,313411926,15694,314625770,0.000,2.655,5.970,1.214,9.839,9.839,,,0,0
left,50,349709435,15694,349709435,15694,349709435,15694,352172680,15694,357829638,15694,358853802,0.000,2.463,5.657,1.024,9.144,9.144,,,0,0
front,75,367594030,15694,367594030,15694,367594030,15694,369836841,15694,375658402,15694,377112602,0.000,2.243,5.822,1.454,9.519,9.519,,,0,0
right,24,404795662,15694,404795662,15694,404795662,15694,407662226,15694,413658316,15694,414855231,0.000,2.867,5.996,1.197,10.060,10.060,,,0,0
left,51,449697176,15694,449697176,15694,449697176,15694,452325946,15694,458034517,15694,459214250,0.000,2.629,5.709,1.180,9.517,9.517,,,0,0
front,76,467606188,15694,467606188,15694,467606188,15694,469388200,15694,475246502,15694,476414321,0.000,1.782,5.858,1.168,8.808,8.808,,,0,0
right,25,504794384,15694,504794384,15694,504794384,15694,506980546,15694,513187037,15694,514309943,0.000,2.186,6.206,1.123,9.516,9.516,,,0,0
left,52,549710556,15694,549710556,15694,549710556,15694,551899393,15694,557714029,15694,558841533,0.000,2.189,5.815,1.128,9.131,9.131,,,0,0
front,77,567615646,15694,567615646,15694,567615646,15694,569384554,15694,574957155,15694,576044891,0.000,1.769,5.573,1.088,8.429,8.429,,,0,0
right,26,604811763,15694,604811763,15694,604811763,15694,607023042,15694,613025606,15694,614150457,0.000,2.211,6.003,1.125,9.339,9.339,,,0,0
left,53,649719557,15694,649719557,15694,649719557,15694,651587774,15694,657402353,15694,658569214,0.000,1.868,5.815,1.167,8.850,8.850,,,0,0
front,78,667795628,15694,667795628,15694,667795628,15694,669274595,15694,674833191,15694,675944298,0.000,1.479,5.559,1.111,8.149,8.149,,,0,0
right,27,704822439,15694,704822439,15694,704822439,15694,706561628,15694,712834496,15694,713989051,0.000,1.739,6.273,1.155,9.167,9.167,,,0,0
left,54,749756807,15694,749756807,15694,749756807,15694,751908556,15694,757640126,15694,758792670,0.000,2.152,5.732,1.153,9.036,9.036,,,0,0
front,79,767621608,15694,767621608,15694,767621608,15694,769816619,15694,775593233,15694,776703527,0.000,2.195,5.777,1.110,9.082,9.082,,,0,0
right,28,804781348,15694,804781348,15694,804781348,15694,806711346,15694,812800920,15694,814020214,0.000,1.930,6.090,1.219,9.239,9.239,,,0,0
left,55,849756176,15694,849756176,15694,849756176,15694,852129816,15694,857797597,15694,858995981,0.000,2.374,5.668,1.198,9.240,9.240,,,0,0
front,80,867623575,15694,867623575,15694,867623575,15694,869416422,15694,875110909,15694,876274124,0.000,1.793,5.694,1.163,8.651,8.651,,,0,0
right,29,904820145,15694,904820145,15694,904820145,15694,907030299,15694,913236323,15694,914389395,0.000,2.210,6.206,1.153,9.569,9.569,,,0,0
left,56,949749317,15694,949749317,15694,949749317,15694,951715508,15694,957374629,15694,958454443,0.000,1.966,5.659,1.080,8.705,8.705,,,0,0
front,81,967734215,15694,967734215,15694,967734215,15694,969242677,15694,975028139,15694,976227061,0.000,1.508,5.785,1.199,8.493,8.493,,,0,0
right,30,4884098,15695,004884098,15695,004884098,15695,006928073,15695,013081678,15695,014546528,0.000,2.044,6.154,1.465,9.662,9.662,,,0,0
left,57,49761887,15695,049761887,15695,049761887,15695,051793878,15695,057349892,15695,058491085,0.000,2.032,5.556,1.141,8.729,8.729,,,0,0
front,82,67655098,15695,067655098,15695,067655098,15695,069722789,15695,075318801,15695,076443637,0.000,2.068,5.596,1.125,8.789,8.789,,,0,0
right,31,104831064,15695,104831064,15695,104831064,15695,106897999,15695,113014412,15695,114521054,0.000,2.067,6.116,1.507,9.690,9.690,,,0,0
left,58,149782836,15695,149782836,15695,149782836,15695,151411320,15695,157120774,15695,158381725,0.000,1.628,5.709,1.261,8.599,8.599,,,0,0
front,83,167646477,15695,167646477,15695,167646477,15695,169868022,15695,175761969,15695,177054552,0.000,2.222,5.894,1.293,9.408,9.408,,,0,0
right,32,204833107,15695,204833107,15695,204833107,15695,206538290,15695,212498487,15695,213799539,0.000,1.705,5.960,1.301,8.966,8.966,,,0,0
left,59,249775477,15695,249775477,15695,249775477,15695,251858710,15695,257573940,15695,258758396,0.000,2.083,5.715,1.184,8.983,8.983,,,0,0
front,84,267652889,15695,267652889,15695,267652889,15695,269852602,15695,275550949,15695,276738430,0.000,2.200,5.698,1.187,9.086,9.086,,,0,0
right,33,304835642,15695,304835642,15695,304835642,15695,307042366,15695,313209474,15695,314349155,0.000,2.207,6.167,1.140,9.514,9.514,,,0,0
left,60,349784406,15695,349784406,15695,349784406,15695,351880821,15695,357596662,15695,358982880,0.000,2.096,5.716,1.386,9.198,9.198,,,0,0
front,85,367701544,15695,367701544,15695,367701544,15695,369309254,15695,374920001,15695,376155379,0.000,1.608,5.611,1.235,8.454,8.454,,,0,0
right,34,404851029,15695,404851029,15695,404851029,15695,407324387,15695,413418080,15695,414550196,0.000,2.473,6.094,1.132,9.699,9.699,,,0,0
left,61,449746493,15695,449746493,15695,449746493,15695,452384392,15695,458245787,15695,459786166,0.000,2.638,5.861,1.540,10.040,10.040,,,0,0
front,86,467668894,15695,467668894,15695,467668894,15695,470016235,15695,475859081,15695,477222811,0.000,2.347,5.843,1.364,9.554,9.554,,,0,0
right,35,504859613,15695,504859613,15695,504859613,15695,506948765,15695,513010590,15695,514095088,0.000,2.089,6.062,1.084,9.235,9.235,,,0,0
left,62,549787319,15695,549787319,15695,549787319,15695,551803650,15695,558150145,15695,560230012,0.000,2.016,6.346,2.080,10.443,10.443,,,0,0
front,87,567663270,15695,567663270,15695,567663270,15695,569587571,15695,575510015,15695,576796353,0.000,1.924,5.922,1.286,9.133,9.133,,,0,0
right,36,604853985,15695,604853985,15695,604853985,15695,607085331,15695,613220567,15695,614576148,0.000,2.231,6.135,1.356,9.722,9.722,,,0,0
left,63,649834977,15695,649834977,15695,649834977,15695,651806462,15695,657600686,15695,658783435,0.000,1.971,5.794,1.183,8.948,8.948,,,0,0
front,88,667738867,15695,667738867,15695,667738867,15695,669197728,15695,674913685,15695,676129760,0.000,1.459,5.716,1.216,8.391,8.391,,,0,0
right,37,704964426,15695,704964426,15695,704964426,15695,707083193,15695,713421342,15695,714590404,0.000,2.119,6.338,1.169,9.626,9.626,,,0,0
left,64,749838970,15695,749838970,15695,749838970,15695,751349846,15695,757120839,15695,758214272,0.000,1.511,5.771,1.093,8.375,8.375,,,0,0
front,89,767704300,15695,767704300,15695,767704300,15695,769738432,15695,775452422,15695,776766529,0.000,2.034,5.714,1.314,9.062,9.062,,,0,0
right,38,804971790,15695,804971790,15695,804971790,15695,806602363,15695,813072075,15695,814636506,0.000,1.631,6.470,1.564,9.665,9.665,,,0,0
left,65,849844594,15695,849844594,15695,849844594,15695,852045450,15695,857984892,15695,859322107,0.000,2.201,5.939,1.337,9.478,9.478,,,0,0
front,90,867707933,15695,867707933,15695,867707933,15695,870222183,15695,876004603,15695,877284558,0.000,2.514,5.782,1.280,9.577,9.577,,,0,0
right,39,905151504,15695,905151504,15695,905151504,15695,907131498,15695,913399888,15695,914578888,0.000,1.980,6.268,1.179,9.427,9.427,,,0,0
left,66,949955917,15695,949955917,15695,949955917,15695,951451297,15695,957147980,15695,958261902,0.000,1.495,5.697,1.114,8.306,8.306,,,0,0
front,91,967695232,15695,967695232,15695,967695232,15695,969822335,15695,975652795,15695,976848834,0.000,2.127,5.830,1.196,9.154,9.154,,,0,0
right,40,4923259,15696,004923259,15696,004923259,15696,007148357,15696,013495077,15696,014622203,0.000,2.225,6.347,1.127,9.699,9.699,,,0,0
left,67,49839737,15696,049839737,15696,049839737,15696,051958297,15696,057607566,15696,058793638,0.000,2.119,5.649,1.186,8.954,8.954,,,0,0
front,92,67723017,15696,067723017,15696,067723017,15696,069164890,15696,074886897,15696,076016227,0.000,1.442,5.722,1.129,8.293,8.293,,,0,0
right,41,104916842,15696,104916842,15696,104916842,15696,106322095,15696,112445031,15696,113572340,0.000,1.405,6.123,1.127,8.655,8.655,,,0,0
left,68,149967499,15696,149967499,15696,149967499,15696,151147198,15696,156960690,15696,158085778,0.000,1.180,5.813,1.125,8.118,8.118,,,0,0
front,93,167771007,15696,167771007,15696,167771007,15696,169808507,15696,175435083,15696,176544158,0.000,2.038,5.627,1.109,8.773,8.773,,,0,0
right,42,204927216,15696,204927216,15696,204927216,15696,206897448,15696,213117677,15696,214908225,0.000,1.970,6.220,1.791,9.981,9.981,,,0,0
left,69,249825659,15696,249825659,15696,249825659,15696,252123292,15696,258292712,15696,259500401,0.000,2.298,6.169,1.208,9.675,9.675,,,0,0
front,94,267774872,15696,267774872,15696,267774872,15696,269862657,15696,275753879,15696,277064039,0.000,2.088,5.891,1.310,9.289,9.289,,,0,0
right,43,304933248,15696,304933248,15696,304933248,15696,307126220,15696,313466347,15696,315546342,0.000,2.193,6.340,2.080,10.613,10.613,,,0,0
left,70,349866865,15696,349866865,15696,349866865,15696,352145055,15696,357952510,15696,359327319,0.000,2.278,5.807,1.375,9.460,9.460,,,0,0
front,95,367770577,15696,367770577,15696,367770577,15696,369902994,15696,375811961,15696,377257000,0.000,2.132,5.909,1.445,9.486,9.486,,,0,0
right,44,404950954,15696,404950954,15696,404950954,15696,406722796,15696,413066557,15696,414264238,0.000,1.772,6.344,1.198,9.313,9.313,,,0,0
left,71,449965781,15696,449965781,15696,449965781,15696,451361138,15696,457270146,15696,458436011,0.000,1.395,5.909,1.166,8.470,8.470,,,0,0
front,96,467815056,15696,467815056,15696,467815056,15696,469396178,15696,475156446,15696,476294307,0.000,1.581,5.760,1.138,8.479,8.479,,,0,0
right,45,504950339,15696,504950339,15696,504950339,15696,506897842,15696,513399965,15696,515240471,0.000,1.948,6.502,1.841,10.290,10.290,,,0,0
left,72,549872698,15696,549872698,15696,549872698,15696,551479067,15696,557297176,15696,558381879,0.000,1.606,5.818,1.085,8.509,8.509,,,0,0
front,97,567750322,15696,567750322,15696,567750322,15696,569830086,15696,575734273,15696,577231428,0.000,2.080,5.904,1.497,9.481,9.481,,,0,0
right,46,604961686,15696,604961686,15696,604961686,15696,607216765,15696,613429375,15696,614781258,0.000,2.255,6.213,1.352,9.820,9.820,,,0,0
left,73,649855079,15696,649855079,15696,649855079,15696,651515895,15696,657435959,15696,658678893,0.000,1.661,5.920,1.243,8.824,8.824,,,0,0
front,98,667795513,15696,667795513,15696,667795513,15696,669546347,15696,675262279,15696,676302754,0.000,1.751,5.716,1.040,8.507,8.507,,,0,0
right,47,704945503,15696,704945503,15696,704945503,15696,706442615,15696,712787443,15696,713962857,0.000,1.497,6.345,1.175,9.017,9.017,,,0,0
left,74,749871718,15696,749871718,15696,749871718,15696,751363396,15696,757107355,15696,758123881,0.000,1.492,5.744,1.017,8.252,8.252,,,0,0
front,99,767793310,15696,767793310,15696,767793310,15696,769712237,15696,775396552,15696,776819483,0.000,1.919,5.684,1.423,9.026,9.026,,,0,0
right,48,805022468,15696,805022468,15696,805022468,15696,807159259,15696,813788875,15696,815673761,0.000,2.137,6.630,1.885,10.651,10.651,,,0,0
left,75,849868453,15696,849868453,15696,849868453,15696,851870699,15696,857784232,15696,858957679,0.000,2.002,5.914,1.173,9.089,9.089,,,0,0
front,100,867775084,15696,867775084,15696,867775084,15696,869938678,15696,875790167,15696,877072592,0.000,2.164,5.851,1.282,9.298,9.298,,,0,0
right,49,904967954,15696,904967954,15696,904967954,15696,907065357,15696,913346138,15696,914477005,0.000,2.097,6.281,1.131,9.509,9.509,,,0,0
left,76,949904624,15696,949904624,15696,949904624,15696,952032351,15696,957852948,15696,959153468,0.000,2.128,5.821,1.301,9.249,9.249,,,0,0
front,101,967829374,15696,967829374,15696,967829374,15696,969278658,15696,975025862,15696,976205941,0.000,1.449,5.747,1.180,8.377,8.377,,,0,0
right,50,4983004,15697,004983004,15697,004983004,15697,007099107,15697,013515088,15697,014703404,0.000,2.116,6.416,1.188,9.720,9.720,,,0,0
left,77,49916793,15697,049916793,15697,049916793,15697,051851893,15697,057882850,15697,059241472,0.000,1.935,6.031,1.359,9.325,9.325,,,0,0
front,102,67788086,15697,067788086,15697,067788086,15697,069964777,15697,075686386,15697,076912276,0.000,2.177,5.722,1.226,9.124,9.124,,,0,0
right,51,104969280,15697,104969280,15697,104969280,15697,106908482,15697,113087330,15697,114275463,0.000,1.939,6.179,1.188,9.306,9.306,,,0,0
left,78,149888239,15697,149888239,15697,149888239,15697,151441798,15697,157118977,15697,158288771,0.000,1.554,5.677,1.170,8.401,8.401,,,0,0
